date	Realized	Cash-flow channel	Illiquidity channel
19821001	11.48899	15.3310873415	15.9158103635
19830101	9.067847	15.8784072067	15.6030938677
19830401	11.36986	17.6466277585	16.0525638948
19830701	6.799637	20.1129730585	16.4311853931
19831001	17.94530	17.1648421533	15.6816353054
19840101	21.20893	18.4622840731	16.1400575191
19840401	27.09907	21.602807075	16.9257425205
19840701	16.49785	20.281732104	16.3522480251
19841001	16.65470	21.4145357532	16.7780545933
19850101	18.30022	15.6696070579	15.8408809559
19850401	22.47124	14.4628429549	14.9928524343
19850701	12.34877	16.0413768545	16.1555146523
19851001	20.70969	14.5927749411	15.3695431943
19860101	26.58008	17.8515181544	16.6006308116
19860401	14.38735	20.066326988	18.0038789699
19860701	24.74631	20.6040899279	18.7145927194
19861001	24.87738	18.0174667469	18.0823751779
19870101	15.74656	19.3263726755	18.3685595531
19870401	21.41292	19.489966902	18.3306390591
19870701	30.87861	16.0064524328	16.8832060701
19871001	38.74063	16.7501713974	17.1864211163
19880101	42.87270	15.9048074991	16.774415734
19880401	50.50955	15.4570576465	16.4624015713
19880701	50.92583	17.6216292909	16.8588083121
19881001	30.59415	18.1086013071	16.5077559585
19890101	32.18340	20.1717271228	16.7041402543
19890401	34.52514	21.2538837792	16.8585575436
19890701	23.28018	20.31790671	16.7612998686
19891001	11.81571	20.2216462974	16.989823536
19900101	9.744364	20.0456959271	16.864295672
19900401	3.927385	19.5459543517	16.6486344124
19900701	7.928402	18.81649541	16.3953699377
19901001	3.986446	14.2420107523	14.930050598
19910101	5.897014	13.2977704834	14.8743514942
19910401	1.975504	13.4697457192	15.3907732372
19910701	7.992165	12.8218856753	15.1748789297
19911001	4.044489	12.9545802746	15.5048150466
19920101	3.888781	12.2866459316	15.9337602871
19920401	5.867821	11.4478146171	15.6664640195
19920701	5.932210	11.1662407394	15.80544461
19921001	3.982487	10.8140413973	15.5357564612
19930101	5.660381	11.6309769534	16.1593819565
19930401	1.883594	10.0836655198	14.9894862782
19930701	7.449521	11.9268799233	15.998143106
19931001	5.533015	12.1684481871	16.0863821681
19940101	0.000000	12.4164433959	16.4473941297
19940401	4.711075	10.1719452628	14.6900677197
19940701	10.97085	11.8048813479	15.2913995838
19941001	15.70016	12.2379699752	15.1317182554
19950101	2.976633	14.4366392529	15.8796815508
19950401	16.45964	16.4456790081	16.6975289709
19950701	3.023290	16.9626313954	16.8205143336
19951001	1.514463	17.6873576449	17.2880264082
19960101	4.391531	17.6676410136	17.3821499901
19960401	10.27841	16.2170453986	16.9150112337
19960701	5.881955	16.5628335687	16.9984901001
19961001	16.23497	16.7820025644	17.2959290307
19970101	4.122591	16.5458582137	17.0865215926
19970401	13.85087	16.2546454726	16.9434277716
19970701	32.18836	19.2152529243	18.3538235885
19971001	11.44115	20.2083024186	18.7958777011
19980101	17.94056	22.3704236068	19.5173396496
19980401	15.44044	25.4582994807	20.9307288319
19980701	17.29359	26.0422324443	21.1483039307
19981001	19.44573	21.6706268407	19.8073961673
19990101	19.05099	26.0529446057	21.4713723059
19990401	28.36679	25.1699967988	21.4652926016
19990701	16.85883	24.1123383762	20.8898418473
19991001	28.54664	22.9456497715	20.1215262132
20000101	24.29452	26.4246676376	21.2645477913
20000401	21.53662	33.1170395651	23.4184717776
20000701	23.48142	31.7455432731	22.4071660429
20001001	25.91809	34.5683112496	23.1259858118
20010101	19.00926	27.2417079831	21.0792550391
20010401	22.74402	21.0693365198	19.8688419248
20010701	13.40712	18.9534478686	19.4442187518
20011001	6.893095	16.4105423208	19.1847594567
20020101	7.049119	13.8060678798	18.3257427514
20020401	12.50289	16.1413429849	19.9305898986
20020701	25.69100	16.1473673971	19.6405092303
20021001	16.83751	15.4655278253	18.7997153905
20030101	11.36733	14.2675085193	18.6196085875
20030401	38.55444	14.0202848	18.3824207977
20030701	13.78186	16.1798279912	19.7251052082
20031001	26.16092	16.616283774	20.123519305
20040101	14.01805	17.3966628414	20.8472211266
20040401	18.16883	18.0481191572	20.9865244991
20040701	14.41424	19.3703091031	21.7161402192
20041001	8.352793	21.8764836343	22.365021176
20050101	18.17415	23.7896408766	22.6244723537
20050401	20.38426	23.8719165795	22.3581276752
20050701	24.89955	27.4824385679	23.240801536
20051001	33.63006	28.2805360467	23.3422671439
20060101	28.71269	31.7204122633	23.7807292396
20060401	37.40990	36.4223878763	25.3197493419
20060701	42.08369	35.1481502776	24.5043479935
20061001	51.13835	36.3902182634	24.624346953
20070101	39.53849	39.8054810541	25.8597316674
20070401	48.43841	41.2134008049	26.4376015577
20070701	25.62349	37.5952449285	25.3748151769
20071001	21.72807	32.663558333	24.5086388385
20080101	16.94691	27.2330926747	23.6188213265
20080401	19.24884	20.3662825021	21.8036714538
20080701	6.525841	21.4575232167	22.5973987175
20081001	4.461602	15.1083039204	19.4589715633
20090101	15.76400	15.3169166762	19.4479277438
20090401	20.57432	14.8367015625	19.3737073237
20090701	23.34202	16.7380619078	20.9226895907
20091001	16.64155	16.8962066192	21.0785090502
20100101	23.71772	16.2136319427	20.8030471415
20100401	38.50030	17.8600492384	21.6403866435
20100701	26.77902	19.7213237168	22.201975268
20101001	37.03180	20.7910771356	22.8071511184
20110101	24.49184	19.8733291049	22.6190079379
20110401	29.72674	19.5176318047	22.7547752175
